service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
75172, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
75311, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
75336, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210919
75337, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210919
75338, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
75355, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
75361, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
75364, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
75378, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
75381, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
82280, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210331
82589, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82591, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82592, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82593, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82598, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210722
82599, 0, 0, 0, 0, 0, 1, 0, 20210501, 20210722
82600, 0, 0, 0, 0, 0, 1, 0, 20210501, 20210722
82601, 0, 0, 1, 0, 1, 0, 0, 20210601, 20210722
82607, 0, 0, 1, 0, 1, 0, 0, 20210601, 20210722
82609, 0, 0, 0, 0, 0, 1, 0, 20210501, 20210722
82615, 1, 1, 1, 1, 0, 0, 0, 20210407, 20210531
82616, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82617, 0, 0, 0, 0, 1, 0, 0, 20210407, 20210531
82618, 0, 0, 0, 0, 0, 0, 1, 20210501, 20210722
82623, 0, 0, 0, 1, 0, 0, 0, 20210319, 20210722
82624, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210722
82625, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210722
82626, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82631, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82632, 1, 0, 1, 0, 1, 0, 0, 20210601, 20210722
82633, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210722
82640, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82641, 1, 0, 1, 0, 1, 0, 0, 20210601, 20210722
82643, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
82648, 0, 1, 0, 1, 0, 0, 0, 20210319, 20210722
82649, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210722
82650, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82651, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82656, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210722
82657, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82658, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210722
82659, 0, 1, 0, 1, 0, 0, 0, 20210319, 20210722
84038, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84043, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84044, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84045, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84046, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84052, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84054, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84055, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84060, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84061, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84063, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84068, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84069, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84070, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84071, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84072, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84077, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84078, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84079, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84080, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84086, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84087, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84088, 0, 0, 0, 0, 1, 1, 1, 20210319, 20210919
84093, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210919
84094, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
84096, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
84102, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84103, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84104, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84105, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84110, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84111, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84112, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
84113, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
84120, 0, 0, 0, 0, 1, 1, 1, 20210319, 20210919
84121, 1, 1, 1, 1, 0, 0, 0, 20210319, 20210919
84127, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84128, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84129, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84130, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
73782, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
79591, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
81160, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
81162, 0, 1, 0, 0, 0, 0, 0, 20210407, 20210531
81163, 0, 1, 0, 0, 0, 0, 0, 20210407, 20210531
81164, 0, 0, 0, 0, 0, 0, 1, 20210501, 20210630
81169, 0, 0, 1, 0, 0, 0, 0, 20210407, 20210531
81170, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
