service_id, date, exception_type
73782, 20210405, 2
73782, 20210504, 2
73782, 20210623, 2
73782, 20210624, 2
75172, 20210405, 2
75172, 20210504, 2
75172, 20210623, 2
75172, 20210624, 2
75336, 20210404, 1
75337, 20210404, 1
75338, 20210504, 2
75338, 20210901, 1
75338, 20210902, 1
75338, 20210903, 1
75338, 20210906, 1
75338, 20210907, 1
75338, 20210908, 1
75338, 20210909, 1
75338, 20210910, 1
75338, 20210913, 1
75338, 20210914, 1
75338, 20210915, 1
75338, 20210916, 1
75338, 20210917, 1
75365, 20210319, 1
75365, 20210322, 1
75365, 20210323, 1
75365, 20210324, 1
75365, 20210325, 1
75365, 20210326, 1
75365, 20210329, 1
75365, 20210330, 1
75365, 20210331, 1
75365, 20210401, 1
75365, 20210402, 1
75365, 20210405, 1
75365, 20210406, 1
75368, 20210405, 2
75368, 20210504, 2
75368, 20210623, 2
75368, 20210624, 2
75376, 20210405, 2
75376, 20210504, 2
75376, 20210623, 2
75376, 20210624, 2
75377, 20210404, 1
75377, 20210501, 1
75378, 20210405, 2
75378, 20210504, 2
75378, 20210623, 2
75378, 20210624, 2
81159, 20210504, 2
81160, 20210504, 2
81162, 20210504, 2
81163, 20210504, 2
81167, 20210504, 2
81170, 20210504, 2
81171, 20210504, 2
81172, 20210504, 2
81173, 20210504, 2
81176, 20210405, 2
81176, 20210504, 2
81176, 20210623, 2
81176, 20210624, 2
81179, 20210405, 2
81179, 20210501, 2
81179, 20210504, 2
81179, 20210623, 2
81179, 20210624, 2
81180, 20210501, 2
81182, 20210504, 2
81183, 20210504, 2
81184, 20210504, 2
81185, 20210504, 2
81188, 20210405, 2
81188, 20210504, 2
81188, 20210623, 2
81188, 20210624, 2
81198, 20210504, 2
81200, 20210320, 2
81200, 20210327, 2
81200, 20210403, 2
81200, 20210405, 2
81200, 20210501, 2
81200, 20210504, 2
81200, 20210623, 2
81200, 20210624, 2
81201, 20210320, 2
81201, 20210327, 2
81201, 20210403, 2
81201, 20210405, 2
81201, 20210501, 2
81201, 20210504, 2
81201, 20210623, 2
81201, 20210624, 2
81202, 20210405, 2
81202, 20210504, 2
81202, 20210623, 2
81202, 20210624, 2
81203, 20210405, 2
81203, 20210504, 2
81203, 20210623, 2
81203, 20210624, 2
81207, 20210404, 2
81209, 20210404, 2
81213, 20210404, 2
81213, 20210504, 2
81214, 20210404, 2
81214, 20210504, 2
81217, 20210405, 2
81218, 20210405, 2
81219, 20210405, 2
81219, 20210504, 2
81219, 20210623, 2
81219, 20210624, 2
81220, 20210405, 2
81220, 20210504, 2
81220, 20210623, 2
81220, 20210624, 2
81229, 20210320, 2
81229, 20210321, 2
81229, 20210327, 2
81229, 20210328, 2
81229, 20210403, 2
81229, 20210404, 2
81234, 20210320, 2
81234, 20210321, 2
81234, 20210327, 2
81234, 20210328, 2
81234, 20210403, 2
81234, 20210404, 2
81235, 20210320, 2
81235, 20210321, 2
81235, 20210327, 2
81235, 20210328, 2
81235, 20210403, 2
81235, 20210404, 2
81236, 20210320, 2
81236, 20210321, 2
81236, 20210327, 2
81236, 20210328, 2
81236, 20210403, 2
81236, 20210404, 2
81239, 20210402, 2
81239, 20210405, 2
81239, 20210504, 2
81240, 20210402, 2
81240, 20210405, 2
81240, 20210504, 2
81241, 20210624, 2
81242, 20210624, 2
81243, 20210405, 2
81243, 20210501, 2
81243, 20210504, 2
81243, 20210623, 2
81243, 20210624, 2
81244, 20210404, 2
81244, 20210405, 2
81244, 20210504, 2
81244, 20210623, 2
81244, 20210624, 2
81245, 20210404, 2
81245, 20210405, 2
81245, 20210504, 2
81245, 20210623, 2
81245, 20210624, 2
81247, 20210623, 2
81247, 20210624, 2
81249, 20210402, 2
81249, 20210405, 2
81249, 20210504, 2
81250, 20210405, 2
81250, 20210501, 2
81250, 20210504, 2
81250, 20210623, 2
81250, 20210624, 2
81251, 20210405, 2
81251, 20210501, 2
81251, 20210504, 2
81251, 20210623, 2
81251, 20210624, 2
81252, 20210501, 2
81253, 20210623, 2
81254, 20210623, 2
81255, 20210623, 2
81256, 20210623, 2
