route_id, agency_id, route_short_name, route_long_name, route_desc, route_type, route_url, route_color, route_text_color
1040001, 104, 7959, "Rīga-Kalnciems", , 3, , , 
1040004, 104, 7227, "Rīga-Tīnūži-Ogre", , 3, , , 
6200005, 62, 7228, "Ogre-Suntaži-Sigulda", , 3, , , 
6200006, 62, 7229, "Rīga-Pāvulēni", , 3, , , 
6400008, 64, 5037, "Gulbene-Puidzulis-Gulbene", , 3, , , 
6400009, 64, 5038, "Gulbene-Sveķu skola-Arodvidusskola-Gulbene", , 3, , , 
6400010, 64, 5538, "Gulbene-Mālmuiža-Lejasciems-Gulbene", , 3, , , 
6400011, 64, 5541, "Gulbene-Ranka-Rēveļi", , 3, , , 
6400012, 64, 6006, "Gulbene-Litene", , 3, , , 
6400013, 64, 6012, "Gulbene-Stāmeriena-Kalniena", , 3, , , 
6400014, 64, 6014, "Gulbene-Jaunvanagi", , 3, , , 
6400015, 64, 6015, "Gulbene-Letes", , 3, , , 
6400016, 64, 6017, "Gulbene-Lejasciems-Pērle", , 3, , , 
6400017, 64, 6018, "Gulbene-Pērle", , 3, , , 
6400018, 64, 6019, "Gulbene-Lizums", , 3, , , 
6400019, 64, 6022, "Gulbene-Liedeskrogs", , 3, , , 
6400020, 64, 6024, "Gulbene-Tirza-Velēna-Gulbene", , 3, , , 
6400021, 64, 6025, "Gulbene-Stari", , 3, , , 
6400022, 64, 6026, "Gulbene-Velēna", , 3, , , 
6400023, 64, 6027, "Gulbene-Aduliena-Tirza", , 3, , , 
6400024, 64, 6028, "Gulbene-Daukstes-Jaungulbene", , 3, , , 
6400025, 64, 6010, "Gulbene-Ūdrupe", , 3, , , 
6200026, 62, 5066, "Salacgrīva-Ainaži-Staicele", , 3, , , 
4300028, 43, 7981, "Rīga-Preiļi", , 3, , , 
6100028, 61, 7981, "Rīga-Preiļi", , 3, , , 
2200029, 22, 7164, "Valmiera-Alūksne", , 3, , , 
6100030, 61, 7989, "Rīga-Madona-Lubāna", , 3, , , 
6100031, 61, 7992, "Rīga-Rēzekne", , 3, , , 
6100033, 61, 7632, "Rēzekne-Balvi-Gulbene", , 3, , , 
4300034, 43, 7893, "Daugavpils-Preiļi", , 3, , , 
2200035, 22, 7165, "Alūksne-Gaujiena-Smiltene", , 3, , , 
6200039, 62, 5078, "Limbaži-Ķirbiži-Ainaži", , 3, , , 
6200041, 62, 5178, "Limbaži-Viļķene-Ķirbiži-Ainaži", , 3, , , 
6200042, 62, 5450, "Saulkrasti-Skulte-Lejasozoli", , 3, , , 
6200044, 62, 5452, "Saulkrasti-Skulte-Mandegas", , 3, , , 
6200045, 62, 5453, "Limbaži-Straupe-Lēdurga", , 3, , , 
6200046, 62, 5454, "Cēsis-Straupe-Lēdurga", , 3, , , 
6200047, 62, 5455, "Limbaži-Tūja-Saulkrasti", , 3, , , 
6200048, 62, 5456, "Limbaži-Stiene-Saulkrasti", , 3, , , 
6200049, 62, 5457, "Limbaži-Liepupe-Saulkrasti", , 3, , , 
6200050, 62, 5458, "Limbaži-Vidriži-Saulkrasti", , 3, , , 
6200053, 62, 6643, "Limbaži-Ozolmuiža", , 3, , , 
6200054, 62, 6644, "Limbaži-Pociems-Limbaži", , 3, , , 
6200055, 62, 6659, "Limbaži-Ārciems-Pāle-Limbaži", , 3, , , 
6200056, 62, 6662, "Limbaži-Kaijciems-Lādezers-Limbaži", , 3, , , 
6200057, 62, 6664, "Limbaži-Ķirbiži-Viļķene-Limbaži", , 3, , , 
6200058, 62, 6668, "Limbaži-Aloja", , 3, , , 
6200059, 62, 6669, "Limbaži-Aloja-Staicele", , 3, , , 
6200060, 62, 6684, "Limbaži-Viļķene-Salacgrīva", , 3, , , 
5800061, 58, 5203, "Ventspils-Liepene", , 3, , , 
5800062, 58, 5202, "Ventspils-Ance", , 3, , , 
5800064, 58, 6079, "Ventspils-Ziras", , 3, , , 
5800065, 58, 6083, "Ventspils-Ugāle", , 3, , , 
5800068, 58, 6496, "Ventspils-Blāzma-Stikli-Blāzma", , 3, , , 
6600069, 66, 6218, "Krāslava-Kombuļi-Sauleskalns-Auleja", , 3, , , 
6200070, 62, 5975, "Kaplava-Zvejnieki-Koknese", , 3, , , 
4300071, 43, 5029, "Jēkabpils-Vīpe-Stūrnieki-Jēkabpils", , 3, , , 
4300073, 43, 5055, "Zasa-Vandāni-Dunava", , 3, , , 
4300074, 43, 5056, "Zasa-Dignāja", , 3, , , 
4300078, 43, 5061, "Jēkabpils-Zasa-Bērzone-Slate", , 3, , , 
4300080, 43, 5481, "Jēkabpils-Brodi", , 3, , , 
4300081, 43, 5483, "Jēkabpils-Viesīte", , 3, , , 
4300082, 43, 5494, "Jēkabpils-Lone-Nereta", , 3, , , 
4300083, 43, 5495, "Jēkabpils-Sauka-Nereta", , 3, , , 
4300084, 43, 5496, "Jēkabpils-Rite-Nereta", , 3, , , 
4300085, 43, 5497, "Jēkabpils-Sunākste", , 3, , , 
4300088, 43, 6929, "Aknīste-Gārsene", , 3, , , 
4300090, 43, 6930, "Jēkabpils-Grāvlejas-Gārsene", , 3, , , 
4300091, 43, 6931, "Jēkabpils-Viesīte-Gārsene", , 3, , , 
4300092, 43, 6932, "Jēkabpils-Vīpe", , 3, , , 
4300093, 43, 6937, "Jēkabpils-Antūži-Medņi-Jēkabpils", , 3, , , 
4300094, 43, 6941, "Jēkabpils-Viesīte-Aknīste", , 3, , , 
4300095, 43, 6942, "Jēkabpils-Rubeņi-Aknīste", , 3, , , 
4300096, 43, 6944, "Jēkabpils-Pieterāni", , 3, , , 
4300098, 43, 6948, "Jēkabpils-Cukuriņi", , 3, , , 
4300100, 43, 6967, "Jēkabpils-Dunava", , 3, , , 
4300101, 43, 6974, "Jēkabpils-Medņi", , 3, , , 
6800102, 68, 6037, "Kandava-Varieba-Vāne-Kandava", , 3, , , 
6800103, 68, 6038, "Tukums-Kukšas-Sautiņi-Abavnieki", , 3, , , 
1800104, 18, 5129, "Rēzekne-Viļāni-Pustinka-Kruki", , 3, , , 
1800105, 18, 5130, "Rēzekne-Malta-Puša", , 3, , , 
1800108, 18, 5135, "Rēzekne-Viļāni-Strupļi", , 3, , , 
1800109, 18, 5136, "Rēzekne-Viļāni-Ružina-Malta", , 3, , , 
1800110, 18, 5137, "Rēzekne-Strūžāni-Rogovka-Rēzekne", , 3, , , 
1800111, 18, 5626, "Rēzekne-Makašāni-Diogi-Rēzekne", , 3, , , 
1800112, 18, 5627, "Rēzekne-Malta-Feimaņi", , 3, , , 
1800113, 18, 5759, "Rēzekne-Makašāni-Bliseņi", , 3, , , 
1800114, 18, 6436, "Rēzekne-Greivuļi-Ilzeskalns-Rēzekne", , 3, , , 
1800115, 18, 6482, "Rēzekne-Kaunata-Utāni-Rēzekne", , 3, , , 
1800116, 18, 6483, "Rēzekne-Lūznava-Malta", , 3, , , 
1800117, 18, 6484, "Rēzekne-Greiškāni-Lendži-Rēzekne", , 3, , , 
1800118, 18, 6486, "Rēzekne-Viļāni-Gaigalava-Rēzekne", , 3, , , 
1800119, 18, 6490, "Rēzekne-Malta-Ružina-Rēzekne", , 3, , , 
1800120, 18, 6549, "Rēzekne-Stoļerova-Auziņi-Stoļerova-Asāni-Kaunata", , 3, , , 
1800121, 18, 6562, "Rēzekne-Draudzība-Malta", , 3, , , 
1800122, 18, 6563, "Rēzekne-Ezernieki", , 3, , , 
1800123, 18, 6564, "Rēzekne-Kaulači-Sakstagals-Rēzekne", , 3, , , 
1800124, 18, 6571, "Rēzekne-Malta-Rogoviki-Pūdnīki", , 3, , , 
1800127, 18, 5906, "Rēzekne-Ozolmuiža-Ciskādi", , 3, , , 
1800129, 18, 6548, "Rēzekne-Sprūževa-Zarečnajas skola-Stoļerova", , 3, , , 
1800130, 18, 6566, "Rēzekne-Strūžāni", , 3, , , 
1800131, 18, 5142, "Vecstrūžāni-Gaigalava-Dricāni-Vecstrūžāni", , 3, , , 
1800132, 18, 5150, "Rēzekne-Vonogova-Rogovka-Vecstrūžāni", , 3, , , 
1800133, 18, 6570, "Viļāni-Varakļāni-Gaigalava-Vecstrūžāni", , 3, , , 
1800134, 18, 5115, "Rēzekne-Ritiņi-Ismeri-Lūznava", , 3, , , 
1800135, 18, 6530, "Rēzekne-Viļāni", , 3, , , 
1800136, 18, 6536, "Rēzekne-Ratnieki-Baltiņi", , 3, , , 
1800137, 18, 6569, "Rēzekne-Kaunata-Zosna-Rēzekne", , 3, , , 
1800138, 18, 6537, "Rēzekne-Malta-Pustinka", , 3, , , 
5900140, 59, 5265, "Ludza-Cibla-Krivanda-Cibla-Ludza", , 3, , , 
5900143, 59, 5633, "Ludza-Padole-Rogovka", , 3, , , 
5900144, 59, 6156, "Ludza-Cibla", , 3, , , 
5900145, 59, 6552, "Ludza-Zilupe-Konecpole-Ludza", , 3, , , 
5900146, 59, 6572, "Ludza-Blonti-Degļeva", , 3, , , 
5900147, 59, 6579, "Ludza-Seiļi-Rundēni-Lauderi-Ludza", , 3, , , 
5900148, 59, 6581, "Ludza-Kārsava", , 3, , , 
5900149, 59, 6587, "Ludza-Rundēni-Brodaiža-Ludza", , 3, , , 
5900150, 59, 6588, "Ludza-Kārsava-Zobļova", , 3, , , 
5900151, 59, 6602, "Ludza-Zilupe", , 3, , , 
5900152, 59, 6593, "Kārsava-Stiglova-Ludza", , 3, , , 
5900153, 59, 6592, "Kārsava-Goliševa", , 3, , , 
6600154, 66, 5099, "Daugavpils-Zaļumu vasarnīcas", , 3, , , 
6600156, 66, 5104, "Daugavpils-Višķi", , 3, , , 
6600158, 66, 5320, "Daugavpils-Saliena", , 3, , , 
6600159, 66, 5325, "Daugavpils-Krištupi", , 3, , , 
6600160, 66, 5326, "Daugavpils-Ambeļi", , 3, , , 
6600161, 66, 5502, "Daugavpils-Ļubasti-Daugavpils", , 3, , , 
6600162, 66, 5503, "Daugavpils-Šķeltova", , 3, , , 
6600163, 66, 5505, "Daugavpils-Subate-Aknīste", , 3, , , 
