stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
21, 733, "Ābeles", , 56.7193466, 24.1112348, 21, , , , , 
22, 733, "Ābeles", , 56.7202383, 24.1114136, 22, , , , , 
34, 922, "Ādiņas", , 56.8796140, 24.1729634, 34, , , , , 
35, 922, "Ādiņas", , 56.8797002, 24.1728810, 35, , , , , 
42, 5542, "Aizklāņi", , 57.6672248, 22.5702412, 42, , , , , 
43, 5542, "Aizklāņi", , 57.6678935, 22.5705806, 43, , , , , 
48, 8281, "Aizkraukles pagasts", , 56.6169493, 25.2188174, 48, , , , , 
64, 2676, "Akmeņkalni", , 57.7444896, 24.3942193, 64, , , , , 
66, 3741, "Akmeņu iela", , 56.8044805, 24.6103194, 66, , , , , 
69, 9609, "Aknīstes vidusskola", , 56.1633306, 25.7369725, 69, , , , , 
112, 7526, "Apsāni", , 56.2102135, 26.9411628, 112, , , , , 
116, 2847, "Apšukalni", , 56.8160908, 24.0627968, 116, , , , , 
117, 2847, "Apšukalni", , 56.8164660, 24.0629910, 117, , , , , 
126, 2203, "Ārdava", , 56.1416046, 26.8297349, 126, , , , , 
127, 5576, "Arodskola", , 56.6081633, 25.2587349, 127, , , , , 
145, 4073, "Atpiļi", , 57.5571102, 25.7327833, 145, , , , , 
146, 4073, "Atpiļi", , 57.5574759, 25.7338654, 146, , , , , 
171, 5599, "Aurora", , 56.8340187, 24.1039964, 171, , , , , 
180, 541, "Austrumi", , 56.6702355, 25.3525853, 180, , , , , 
185, 1079, "Aviators", , 56.7241279, 24.2137395, 185, , , , , 
186, 1079, "Aviators", , 56.7250828, 24.2119395, 186, , , , , 
197, 5622, "Katlakalna tautas nams", , 56.8755051, 24.1792433, 197, , , , , 
198, 5622, "Katlakalna tautas nams", , 56.8755873, 24.1787122, 198, , , , , 
221, 5740, "Sporta iela", , 57.5090260, 24.7095091, 221, , , , , 
237, 5769, "PII Zeltrīti", , 56.8899591, 24.0506797, 237, , , , , 
242, 5790, "Attekas iela", , 57.0730740, 24.3326200, 242, , , , , 
252, 759, "Laivu iela", , 56.7214741, 24.7800141, 252, , , , , 
253, 759, "Laivu iela", , 56.7219064, 24.7784314, 253, , , , , 
258, 6182, "DIS Gaujmala", , 57.1338089, 24.3080891, 258, , , , , 
362, 969, "Baloži", , 56.8760993, 24.1221597, 362, , , , , 
363, 969, "Baloži", , 56.8764612, 24.1231736, 363, , , , , 
366, 3594, "Baloži", , 56.8631200, 22.4045062, 366, , , , , 
368, 5877, "Baložu skola", , 56.8748685, 24.1188586, 368, , , , , 
369, 3961, "Baložu stacija", , 56.8453168, 24.0462022, 369, , , , , 
370, 3961, "Baložu stacija", , 56.8459159, 24.0471121, 370, , , , , 
371, 5879, "Baltais flīģelis", , 57.1526336, 24.8480068, 371, , , , , 
379, 5880, "Banga", , 57.5084678, 22.7953638, 379, , , , , 
380, 5880, "Banga", , 57.5080927, 22.7966787, 380, , , , , 
383, 164, "Bārdaskrogs", , 57.5708127, 26.9550200, 383, , , , , 
393, 4320, "Baznīca", , 56.7422823, 24.3922178, 393, , , , , 
394, 4320, "Baznīca", , 56.7423410, 24.3938648, 394, , , , , 
410, 3820, "Beļauski", , 56.8444116, 27.1084887, 410, , , , , 
411, 3820, "Beļauski", , 56.8445379, 27.1081708, 411, , , , , 
451, 5906, "Beta", , 56.6056921, 25.2633091, 451, , , , , 
452, 5906, "Beta", , 56.6051054, 25.2640007, 452, , , , , 
469, 5920, "Olaines 2. vidusskola", , 56.7824880, 23.9320123, 469, , , , , 
