route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, block_id, shape_id, wheelchair_accessible, bikes_allowed
2101508, 126429, 126429, , , , , 80215, , 
5500338, 126701, 126701, , , , , 81428, , 
5501007, 126801, 126801, , , , , 79610, , 
5501387, 126824, 126824, , , , , 81994, , 
1040441, 126924, 126924, , , , , 81504, , 
1040502, 126947, 126947, , , , , 81704, , 
1040727, 127050, 127050, , , , , 80845, , 
1040731, 127070, 127070, , , , , 81971, , 
1040732, 127073, 127073, , , , , 80577, , 
1040736, 127093, 127093, , , , , 80858, , 
1040760, 127116, 127116, , , , , 80711, , 
2100223, 127634, 127634, , , , , 80881, , 
2100226, 127657, 127657, , , , , 80614, , 
2100249, 127757, 127757, , , , , 79778, , 
2100391, 127803, 127803, , , , , 81390, , 
2101087, 127903, 127903, , , , , 79808, , 
2101087, 127906, 127906, , , , , 79849, , 
2101450, 127926, 127926, , , , , 80747, , 
2101584, 127949, 127949, , , , , 88556, , 
5501375, 129031, 129031, , , , , 82190, , 
5501465, 129051, 129051, , , , , 81266, , 
2101564, 129257, 129257, , , , , 79833, , 
6601334, 130110, 130110, , , , , 80075, , 
6601334, 130113, 130113, , , , , 80076, , 
6601359, 130156, 130156, , , , , , , 
6600173, 130259, 130259, , , , , 81882, , 
6600178, 130302, 130302, , , , , 80519, , 
6600069, 130359, 130359, , , , , 80335, , 
6600657, 130405, 130405, , , , , 80392, , 
6600348, 130425, 130425, , , , , 81385, , 
6601504, 130505, 130505, , , , , 80197, , 
6601504, 130528, 130528, , , , , 80160, , 
6601334, 130551, 130551, , , , , 80238, , 
6600166, 132171, 132171, , , , , 80273, , 
6100505, 133253, 133253, , , , , , , 
6201200, 136934, 136934, , , , , 82656, , 
2301590, 137060, 137060, , , , , , , 
2301590, 137080, 137080, , , , , , , 
2301590, 137475, 137475, , , , , , , 
5501583, 137982, 137982, , , , , , , 
6201241, 138331, 138331, , , , , 88869, , 
5500338, 138434, 138434, , , , , 83232, , 
6200649, 138603, 138603, , , , , , , 
2301590, 141686, 141686, , , , , , , 
6200467, 141766, 141766, , , , , 89441, , 
6200499, 141786, 141786, , , , , 89281, , 
1041524, 141866, 141866, , , , , 84050, , 
1041256, 141912, 141912, , , , , 83663, , 
1041258, 141935, 141935, , , , , 83786, , 
1041261, 142012, 142012, , , , , 83952, , 
1041233, 142035, 142035, , , , , 83868, , 
1041233, 142058, 142058, , , , , 83962, , 
6200968, 142184, 142184, , , , , 83680, , 
6201180, 142227, 142227, , , , , 84737, , 
6201189, 142304, 142304, , , , , 85571, , 
6201189, 142307, 142307, , , , , 86963, , 
6201353, 142327, 142327, , , , , 85580, , 
5501219, 142453, 142453, , , , , 83476, , 
5501236, 142476, 142476, , , , , 84139, , 
5501238, 142496, 142496, , , , , 83980, , 
5501230, 142533, 142533, , , , , 83670, , 
5501239, 142553, 142553, , , , , 83837, , 
5501239, 142576, 142576, , , , , 83897, , 
5900799, 142599, 142599, , , , , 86539, , 
5900145, 142622, 142622, , , , , 86701, , 
1800132, 142699, 142699, , , , , 84797, , 
1800135, 142745, 142745, , , , , 86230, , 
1800136, 142768, 142768, , , , , 87271, , 
1800124, 142845, 142845, , , , , 86479, , 
6700936, 142891, 142891, , , , , 84528, , 
6700314, 142994, 142994, , , , , 88376, , 
6700945, 143037, 143037, , , , , 85213, , 
2100636, 143140, 143140, , , , , 83435, , 
2100636, 143160, 143160, , , , , 83552, , 
2101503, 143240, 143240, , , , , 83513, , 
2100621, 143263, 143263, , , , , 84023, , 
2100621, 143286, 143286, , , , , 84029, , 
2100621, 143309, 143309, , , , , 83650, , 
6100387, 143701, 143701, , , , , 87851, , 
6100483, 143781, 143781, , , , , 86609, , 
1040538, 144199, 144199, , , , , 87860, , 
1040538, 144219, 144219, , , , , 86420, , 
1040538, 144242, 144242, , , , , 87564, , 
4600555, 144468, 144468, , , , , 87395, , 
4300082, 144491, 144491, , , , , 85079, , 
4301500, 144511, 144511, , , , , 85192, , 
4301501, 144514, 144514, , , , , 85337, , 
4301040, 144534, 144534, , , , , 85344, , 
